NomDep;NomLoc;zip2010;zip2022
SAN JERONIMO;BARRIO EL PACAA-BARRIO COMIPINI;barrioelpacaycomipinia3v;BARRIOELPACAABARRIOCOMIPINI
CONSTITUCION;BARRIO MITRE;BarrioMitrea3v;BARRIOMITRE
CASTELLANOS;BARRIOS ACAPULCO Y VERACRUZ;boacapulcoyveracruza3h;BARRIOSACAPULCOYVERACRUZ
CASTELLANOS;BAUER Y SIGEL;bauerysigela3h;BAUERYSIGEL
CASTELLANOS;BELLA ITALIA;bellaitaliaa3h;BELLAITALIA
CASEROS;BERABEVU;BerabevuA3h;BERABEVU
GENERAL OBLIGADO;BERNA;BERNAA3H;BERNA
SAN JERONIMO;BERNARDO DE IRIGOYEN;BERNARDODEIRIGOYEN;BERNARDODEIRIGOYEN
CASEROS;BIGAND;BigandA3h;BIGAND
CONSTITUCION;BOMBAL;bombala3h;BOMBAL
BELGRANO;BOUQUET;bouquetA3h;BOUQUET
IRIONDO;BUSTINZA;bustinzaa3v;BUSTINZA
LA CAPITAL;CABAL;cabala3h;CABAL
SAN JAVIER;CACIQUE ARIACAIQUIN;caciqueariacaiquina3h;CACIQUEARIACAIQUIN
GENERAL LOPEZ;CAFFERATA;caferataa3h;CAFFERATA
VERA;CALCHAQUI;calchaquia2v;CALCHAQUI
LA CAPITAL;CAMPO ANDINO;campoandinoa3v;CAMPOANDINO
GENERAL OBLIGADO;CAMPO HARDY;CAMPOHARDY;CAMPOHARDY
GENERAL OBLIGADO;CAMPO SIETE PROVINCIAS;CAMPOSIETEPROVINCIAS;CAMPOSIETEPROVINCIAS
LA CAPITAL;CANDIOTI;candiotia3v;CANDIOTI
IRIONDO;CAÑADA DE GOMEZ;canadadegomezA1H;CANADADEGOMEZ
GENERAL LOPEZ;CAÑADA DEL UCLE;canadadeluclea3h;CANADADELUCLE
VERA;CAÑADA OMBU;canadaombua3v;CANADAOMBU
CONSTITUCION;CAÑADA RICA;canadaricaa3h;CANADARICA
SAN MARTIN;CAÑADA ROSQUIN;canadarosquina2h;CANADAROSQUIN
SAN LORENZO;CAPITAN BERMUDEZ;capitanbermudeza1v;CAPITANBERMUDEZ
SAN CRISTOBAL;CAPIVARA;capivaraA4v1;CAPIVARA
SAN LORENZO;CARCARAÑA;carcaranaa1h;CARCARANA
SAN MARTIN;CARLOS PELLEGRINI;Carlospellegrinia2h;CARLOSPELLEGRINI
GENERAL LOPEZ;CARMEN;CARMENA3H;CARMEN
ROSARIO;CARMEN DEL SAUCE;carmendelsaucea3h;CARMENDELSAUCE
GENERAL LOPEZ;CARRERAS;CARRERASA3H;CARRERAS
IRIONDO;CARRIZALES;carrizalesa3h;CARRIZALES
